"TeamName","TeamId","Description","Privacy","Archived","MemberCount","OwnerCount","GuestCount","ChannelCount","LastActivity","RecordingPolicy","RecordingCompliance","RiskLevel","AlertLevel","Governance","Recommendations","CreatedDate","WebUrl","AnalysisTimestamp"
"プロジェクト管理チーム","10afda97-65e1-4c06-ab0c-5bdaedcdfe59","プロジェクトの進行管理と情報共有","Public","False","49","2","0","1","3-6ヶ月前","禁止","確認済","正常","Info","良好","","2024/11/19","https://teams.microsoft.com/l/team/f56f1acc-09e8-423c-9147-33f0cd83a1f6","2025/06/13 11:14:56"
"開発チーム","fb76fd82-dc47-47e0-8be8-e975e43c3e25","システム開発とコードレビュー","Private","False","48","0","3","1","1-3ヶ月前","制限","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2025/01/16","https://teams.microsoft.com/l/team/1c6453ee-edcb-425f-9b93-ba33ca5b86f7","2025/06/13 11:14:56"
"営業部","b4667751-c58b-45cc-b36b-05cfdf2723d3","営業活動と顧客情報共有","Private","False","47","2","0","3","最近","制限","確認済","正常","Info","良好","","2024/06/21","https://teams.microsoft.com/l/team/5871ccbe-4be8-47a1-bcee-b6cd386326db","2025/06/13 11:14:56"
"マーケティング部","962afcf8-aaf2-4c70-b2e4-eaf6d96bd5cc","マーケティング戦略と施策実行","Public","False","3","1","1","4","1-3ヶ月前","制限","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2025/03/22","https://teams.microsoft.com/l/team/acb46a02-e190-4c9e-9aa8-c7c2a007cbd2","2025/06/13 11:14:56"
"人事部","966da8d4-c630-45f5-b436-bd8d3d6056ee","人事制度と採用活動","Private","False","5","2","4","9","6ヶ月以上前","禁止","確認済","注意","Info","良好","外部ゲスト存在 - アクセス権限を定期確認してください; 長期間非アクティブ - 利用状況を確認してください","2025/02/04","https://teams.microsoft.com/l/team/0fb6c4fc-3150-475d-bd0a-65dd3ff8f3a6","2025/06/13 11:14:56"
"経理部","4c83ab22-38ed-445c-9a10-e305a95e430f","経理処理と予算管理","Private","False","36","1","3","4","最近","禁止","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2024/12/25","https://teams.microsoft.com/l/team/3ce07cd5-edac-4cb2-bcda-f919292323e2","2025/06/13 11:14:56"
"IT運用チーム","1ae2a25a-f884-411b-b419-888ad7bc1baa","ITインフラ運用と監視","Public","False","43","2","2","9","3-6ヶ月前","許可","確認済","注意","Info","良好","外部ゲスト存在 - アクセス権限を定期確認してください; ゲスト存在時のレコーディング設定を確認してください","2025/01/14","https://teams.microsoft.com/l/team/afb60409-9a37-41b2-8a35-ecb4082c8fcc","2025/06/13 11:14:56"
"カスタマーサポート","bf999df0-edeb-4805-acdc-4f2d6027108b","顧客対応とサポート業務","Private","False","13","1","0","8","1-3ヶ月前","禁止","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください","2025/02/24","https://teams.microsoft.com/l/team/0261ee58-b3ce-4a76-b794-22a64f9bbf96","2025/06/13 11:14:56"
"品質管理部","0332d667-2fa8-489a-97ff-abb1200d6012","品質向上活動","Private","False","5","0","4","2","3-6ヶ月前","制限","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2024/10/26","https://teams.microsoft.com/l/team/83e8c9c5-26c9-4c35-a032-e183b464d778","2025/06/13 11:14:56"
"戦略企画室","0aa0e28d-0d0a-4322-ad01-aff99af5270c","経営戦略立案","Public","True","36","1","0","2","3-6ヶ月前","禁止","確認済","情報","Info","アーカイブ済","オーナーが1名のみ - 冗長性を確保してください; アーカイブ済チーム","2024/06/30","https://teams.microsoft.com/l/team/79f039ed-1160-43a5-b195-ddda17ecd0cc","2025/06/13 11:14:56"
