"TeamName","TeamId","Description","Privacy","Archived","MemberCount","OwnerCount","GuestCount","ChannelCount","LastActivity","RecordingPolicy","RecordingCompliance","RiskLevel","AlertLevel","Governance","Recommendations","CreatedDate","WebUrl","AnalysisTimestamp"
"プロジェクト管理チーム","d07da81c-d275-4678-9594-6369bdaaaaac","プロジェクトの進行管理と情報共有","Public","False","45","1","0","6","3-6ヶ月前","禁止","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください","2024/11/19","https://teams.microsoft.com/l/team/79be3763-0b75-4c13-abb1-2aec1fbc8811","2025/06/12 22:06:59"
"開発チーム","3a60de80-6b18-47d9-83be-b388473be781","システム開発とコードレビュー","Private","False","42","0","1","2","最近","制限","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2025/02/13","https://teams.microsoft.com/l/team/8326cb8d-8663-40cf-a7de-4ce3249d0d71","2025/06/12 22:06:59"
"営業部","a36ddd24-797b-4980-8885-0c2837571aac","営業活動と顧客情報共有","Private","False","39","0","1","8","最近","制限","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2024/07/26","https://teams.microsoft.com/l/team/4eccf6d3-acdd-4e8d-9de9-61c5b03a8070","2025/06/12 22:06:59"
"マーケティング部","2cfe4218-efcd-48d4-aead-fb19e7156027","マーケティング戦略と施策実行","Public","False","8","0","0","5","1-3ヶ月前","許可","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください","2025/04/13","https://teams.microsoft.com/l/team/1506d978-05a4-41cd-b741-85f81371832a","2025/06/12 22:06:59"
"人事部","84eb13d2-b1cc-46f0-a4fb-a45ab9c4879e","人事制度と採用活動","Private","False","45","1","3","3","1-3ヶ月前","制限","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2024/10/29","https://teams.microsoft.com/l/team/3c3ef205-b0e2-418c-9683-41ab588cc2a8","2025/06/12 22:06:59"
"経理部","c7ecc730-4b74-4743-b3ff-6a3a6cc278cf","経理処理と予算管理","Private","False","36","1","0","7","6ヶ月以上前","許可","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください; 長期間非アクティブ - 利用状況を確認してください","2025/04/28","https://teams.microsoft.com/l/team/581348c7-aed8-4538-a09c-f6d8cb2ff00b","2025/06/12 22:06:59"
"IT運用チーム","58ea99c0-0583-45c8-980a-ecb8fbc133f9","ITインフラ運用と監視","Public","False","36","0","3","1","最近","制限","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2024/11/24","https://teams.microsoft.com/l/team/6aedb30c-ab64-4ffe-90b7-2e4026164efb","2025/06/12 22:06:59"
"カスタマーサポート","444bc78f-928d-4e73-9de1-3c436b42d501","顧客対応とサポート業務","Private","False","10","1","0","1","最近","禁止","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください","2025/03/21","https://teams.microsoft.com/l/team/68397f02-81d5-4b25-98ba-aca97c8a1e26","2025/06/12 22:06:59"
"品質管理部","0de325dc-c0fa-4d32-ae23-a8498f6f1565","品質向上活動","Private","False","4","1","1","3","1-3ヶ月前","許可","確認済","警告","Warning","注意","オーナーが1名のみ - 冗長性を確保してください; 外部ゲスト存在 - アクセス権限を定期確認してください; ゲスト存在時のレコーディング設定を確認してください","2024/08/28","https://teams.microsoft.com/l/team/45ca69b8-97ae-40e2-bf52-ef46c56e1949","2025/06/12 22:06:59"
"戦略企画室","90e2ff1a-f1bd-4ece-9f8a-e7f200931fd3","経営戦略立案","Public","True","10","0","1","8","最近","禁止","確認済","情報","Info","アーカイブ済","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください; アーカイブ済チーム","2025/03/14","https://teams.microsoft.com/l/team/ce1391c0-54c0-4dff-816c-94ef7871af5a","2025/06/12 22:06:59"
