"TeamName","TeamId","Description","Privacy","Archived","MemberCount","OwnerCount","GuestCount","ChannelCount","LastActivity","RecordingPolicy","RecordingCompliance","RiskLevel","AlertLevel","Governance","Recommendations","CreatedDate","WebUrl","AnalysisTimestamp"
"プロジェクト管理チーム","44a422d9-11ea-4e51-8921-a5be1ee29e98","プロジェクトの進行管理と情報共有","Public","False","0","0","0","0","3-6ヶ月前","許可","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください","2024/12/16","https://teams.microsoft.com/l/team/24820876-730b-4f72-b840-1f73cbf45797","2025/06/12 21:44:14"
"開発チーム","21e85bcd-0718-4597-80e6-7c12a00fd6b0","システム開発とコードレビュー","Private","False","0","0","0","0","6ヶ月以上前","許可","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください; 長期間非アクティブ - 利用状況を確認してください","2024/07/02","https://teams.microsoft.com/l/team/ec54295d-ea38-4228-b400-375f86639d6c","2025/06/12 21:44:15"
"営業部","48c4ce99-fb81-4716-95e9-0ca524e914b8","営業活動と顧客情報共有","Private","False","0","0","0","0","6ヶ月以上前","禁止","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください; 長期間非アクティブ - 利用状況を確認してください","2024/10/20","https://teams.microsoft.com/l/team/49e9228d-279d-4d37-aba1-7fed3bae468d","2025/06/12 21:44:16"
"マーケティング部","5b91e586-dcb9-4d87-8cf2-b6012aef6e60","マーケティング戦略と施策実行","Public","False","0","0","0","0","3-6ヶ月前","禁止","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください","2025/02/16","https://teams.microsoft.com/l/team/aae975f3-1c9c-4686-8372-17c33d477001","2025/06/12 21:44:17"
"人事部","ca86461e-a2c2-4ed0-90ff-bb9d142fb932","人事制度と採用活動","Private","False","0","0","0","0","3-6ヶ月前","許可","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください","2025/02/18","https://teams.microsoft.com/l/team/6d50514e-fa40-4c64-aa1d-81142955c073","2025/06/12 21:44:18"
"経理部","18026d99-291c-4225-a44b-7272362ef2c7","経理処理と予算管理","Private","False","0","0","0","0","1-3ヶ月前","禁止","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください","2025/05/13","https://teams.microsoft.com/l/team/3307d76d-f90a-46c7-a02b-44b2cb6a68e9","2025/06/12 21:44:19"
"IT運用チーム","5bafc8f7-c071-4732-a7e3-c6c2ed6f8280","ITインフラ運用と監視","Public","False","0","0","0","0","1-3ヶ月前","許可","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください","2025/04/27","https://teams.microsoft.com/l/team/f6543819-e93a-4f2e-8e67-ad2ecbffc422","2025/06/12 21:44:20"
"カスタマーサポート","4e0b8134-9681-43d5-9174-8a71b6da9abe","顧客対応とサポート業務","Private","False","0","0","0","0","6ヶ月以上前","制限","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください; 長期間非アクティブ - 利用状況を確認してください","2024/09/09","https://teams.microsoft.com/l/team/3867a283-705f-4847-a45f-3a5aac6f2adc","2025/06/12 21:44:21"
"品質管理部","b906c2bc-0fd2-4b75-87bc-828a874c6682","品質向上活動","Private","False","0","0","0","0","3-6ヶ月前","制限","確認済","警告","Warning","要確認","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください","2025/02/27","https://teams.microsoft.com/l/team/7637a76b-91e6-4b16-b7fb-ca435d63e1d2","2025/06/12 21:44:21"
"戦略企画室","7b351339-9571-49eb-9ab6-2a3c6712bb17","経営戦略立案","Public","True","0","0","0","0","6ヶ月以上前","禁止","確認済","情報","Info","アーカイブ済","オーナーが存在しません - 管理者を指定してください; メンバーが存在しません - 削除を検討してください; アーカイブ済チーム; 長期間非アクティブ - 利用状況を確認してください","2024/12/04","https://teams.microsoft.com/l/team/a3dfd840-9637-488c-a660-cc04562c88a7","2025/06/12 21:44:22"
