"Month","MonthName","LicenseCount","MonthlyCost","UtilizationRate","AlertLevel","TrendDirection","AnalysisTimestamp"
"2024-07","2024年07月","357","1013880","77.1","Warning","Baseline","2025/06/13 17:33:09"
"2024-08","2024年08月","398","1130320","86","Critical","Increasing","2025/06/13 17:33:09"
"2024-09","2024年09月","424","1204160","91.6","Critical","Increasing","2025/06/13 17:33:09"
"2024-10","2024年10月","361","1025240","78","Warning","Decreasing","2025/06/13 17:33:09"
"2024-11","2024年11月","372","1056480","80.3","Critical","Increasing","2025/06/13 17:33:09"
"2024-12","2024年12月","399","1133160","86.2","Critical","Increasing","2025/06/13 17:33:09"
"2025-01","2025年01月","387","1099080","83.6","Critical","Decreasing","2025/06/13 17:33:09"
"2025-02","2025年02月","405","1150200","87.5","Critical","Increasing","2025/06/13 17:33:09"
"2025-03","2025年03月","445","1263800","96.1","Critical","Increasing","2025/06/13 17:33:09"
"2025-04","2025年04月","386","1096240","83.4","Critical","Decreasing","2025/06/13 17:33:09"
"2025-05","2025年05月","441","1252440","95.2","Critical","Increasing","2025/06/13 17:33:09"
"2025-06","2025年06月","365","1036600","78.8","Warning","Decreasing","2025/06/13 17:33:09"
