"Month","MonthName","LicenseCount","MonthlyCost","UtilizationRate","AlertLevel","TrendDirection","AnalysisTimestamp"
"2024-07","2024年07月","361","1025240","78","Warning","Baseline","06/13/2025 17:28:01"
"2024-08","2024年08月","392","1113280","84.7","Critical","Increasing","06/13/2025 17:28:01"
"2024-09","2024年09月","379","1076360","81.9","Critical","Decreasing","06/13/2025 17:28:01"
"2024-10","2024年10月","396","1124640","85.5","Critical","Increasing","06/13/2025 17:28:01"
"2024-11","2024年11月","423","1201320","91.4","Critical","Increasing","06/13/2025 17:28:01"
"2024-12","2024年12月","353","1002520","76.2","Warning","Decreasing","06/13/2025 17:28:01"
"2025-01","2025年01月","416","1181440","89.8","Critical","Increasing","06/13/2025 17:28:01"
"2025-02","2025年02月","388","1101920","83.8","Critical","Decreasing","06/13/2025 17:28:01"
"2025-03","2025年03月","412","1170080","89","Critical","Increasing","06/13/2025 17:28:01"
"2025-04","2025年04月","398","1130320","86","Critical","Decreasing","06/13/2025 17:28:01"
"2025-05","2025年05月","432","1226880","93.3","Critical","Increasing","06/13/2025 17:28:01"
"2025-06","2025年06月","443","1258120","95.7","Critical","Increasing","06/13/2025 17:28:01"
