"SenderAddress","ThreatCount","FirstSeen","LastSeen","ThreatTypes","TargetedUsers","RiskScore"
"no-reply@tmes.trendmicro.com","75","06/12/2025 04:02:00","06/12/2025 08:03:23","スパム","46","100"
"mailnews@sourcenext.info","14","06/12/2025 00:16:58","06/12/2025 05:44:59","スパム","6","100"
"mailmag@ipros.jp","13","06/12/2025 02:12:59","06/12/2025 06:46:25","スパム","9","100"
"pr_news@point.recruit.co.jp","10","06/12/2025 04:19:28","06/12/2025 05:37:40","スパム","10","100"
"gnavi-member@gnavi.co.jp","8","06/12/2025 01:10:25","06/12/2025 06:33:57","スパム","7","80"
"news@skygate.co.jp","6","06/12/2025 01:58:41","06/12/2025 10:48:06","スパム","2","60"
"info@bay-mon.com","6","06/12/2025 10:46:54","06/12/2025 10:46:54","スパム","6","60"
"marketing_news@ipros.jp","5","06/12/2025 07:21:34","06/12/2025 07:53:29","スパム","5","50"
"info@share-share.co.jp","5","06/12/2025 02:27:01","06/12/2025 02:27:01","スパム","5","50"
"mag@raksul.com","4","06/12/2025 04:05:23","06/12/2025 08:32:14","スパム","2","40"
"otodoke-j@jalan.net","3","06/12/2025 02:29:05","06/12/2025 02:52:51","スパム","3","30"
"kanehiko-shindo38shibu@outlook.jp","3","06/12/2025 05:10:21","06/12/2025 05:10:28","スパム","3","30"
"mailmaga@evolableasia.com","3","06/12/2025 01:43:43","06/12/2025 09:24:57","スパム","1","30"
"point-j@jalan.net","3","06/12/2025 08:03:53","06/12/2025 08:51:43","スパム","3","30"
"spl@kentem.co.jp","3","06/12/2025 01:58:31","06/12/2025 01:58:57","スパム","3","30"
"shop@mail.shopjapan.co.jp","3","06/12/2025 01:22:15","06/12/2025 11:23:37","スパム","1","30"
"mailmagazine_tkt@toyokeizai.net","3","06/12/2025 02:10:54","06/12/2025 07:17:12","スパム","1","30"
"oshirase@major1.co.jp","3","06/12/2025 01:30:19","06/12/2025 05:30:35","スパム","3","30"
"mailmag@bizocean.jp","3","06/12/2025 08:38:55","06/12/2025 08:54:40","スパム","3","30"
"news_member@carsensor.net","2","06/12/2025 09:02:22","06/12/2025 09:03:59","スパム","2","20"
"jobcommit@hr-team.co.jp","2","06/12/2025 02:46:45","06/12/2025 03:11:02","スパム","1","20"
"no-reply@mirai-const.co.jp","2","06/12/2025 00:58:56","06/12/2025 01:24:15","隔離","2","20"
"rcmd@honto.jp","2","06/12/2025 00:41:42","06/12/2025 01:06:06","スパム","2","20"
"tgml-10@nikkeibp.co.jp","2","06/12/2025 01:46:25","06/12/2025 03:39:58","スパム","1","20"
"mailmag@bizocean.email","2","06/12/2025 06:34:21","06/12/2025 06:44:16","スパム","2","20"
"users@justsystems.com","2","06/12/2025 03:44:06","06/12/2025 07:24:26","スパム","1","20"
"magazine@mag.irisplaza.co.jp","2","06/12/2025 10:04:56","06/12/2025 10:05:07","スパム","2","20"
"notice@transfer.hennge.com","2","06/12/2025 03:01:57","06/12/2025 03:05:20","スパム","1","20"
"lts.biz@gvatech.co.jp","2","06/12/2025 02:32:37","06/12/2025 06:06:12","スパム","1","20"
"seminar-info@bcon.co.jp","2","06/12/2025 02:10:22","06/12/2025 02:11:12","スパム","2","20"
"<>","2","06/12/2025 06:31:59","06/12/2025 06:31:59","スパム","2","20"
"info@shaddy.jp","2","06/12/2025 03:06:14","06/12/2025 09:20:00","スパム","1","20"
"biz_info@bizreach.co.jp","2","06/12/2025 02:43:51","06/12/2025 02:43:55","スパム","2","20"
"business@nikkeibp.co.jp","2","06/12/2025 03:08:13","06/12/2025 08:07:17","スパム","1","20"
"info@kurashi.tepco.co.jp","2","06/12/2025 01:01:23","06/12/2025 01:01:30","隔離","2","20"
"notification@8card.net","1","06/12/2025 01:39:43","06/12/2025 01:39:43","スパム","1","10"
"biz.feedback@moneyforward.com","1","06/12/2025 02:04:32","06/12/2025 02:04:32","スパム","1","10"
"pmkgjn@mansuikaku.com","1","06/12/2025 09:55:44","06/12/2025 09:55:44","隔離","1","10"
"cklky@mansuikaku.com","1","06/12/2025 08:28:06","06/12/2025 08:28:06","隔離","1","10"
"rurubutravel_news@magazine.jtb.co.jp","1","06/12/2025 10:15:47","06/12/2025 10:15:47","スパム","1","10"
"autos-master@mail.yahoo.co.jp","1","06/12/2025 02:19:50","06/12/2025 02:19:50","スパム","1","10"
"r-okamura@profuku.co.jp","1","06/12/2025 02:40:48","06/12/2025 02:40:48","スパム","1","10"
"auction-master@mail.yahoo.co.jp","1","06/12/2025 06:18:11","06/12/2025 06:18:11","スパム","1","10"
"Resonabank.na5me@qavi.net","1","06/12/2025 02:00:20","06/12/2025 02:00:20","隔離","1","10"
"restart-home@cloud.nomad-a.jp","1","06/12/2025 09:14:00","06/12/2025 09:14:00","スパム","1","10"
"rucira33@gmail.com","1","06/12/2025 07:16:32","06/12/2025 07:16:32","スパム","1","10"
"nqpudnh@mansuikaku.com","1","06/12/2025 08:07:05","06/12/2025 08:07:05","隔離","1","10"
"sales-rep@u-can.co.jp","1","06/12/2025 05:12:56","06/12/2025 05:12:56","スパム","1","10"
"sales-st@e-reverse.com","1","06/12/2025 02:06:10","06/12/2025 02:06:10","スパム","1","10"
"SCUBIC.arun206@hfke.com","1","06/12/2025 03:01:51","06/12/2025 03:01:51","隔離","1","10"
"aqrweft@mansuikaku.com","1","06/12/2025 09:51:45","06/12/2025 09:51:45","隔離","1","10"
"akemi_tanaka@kokuyo.com","1","06/12/2025 02:01:20","06/12/2025 02:01:20","スパム","1","10"
"shopinfo@mail.shopch.jp","1","06/12/2025 03:30:32","06/12/2025 03:30:32","スパム","1","10"
"shopping-snl-master@mail.yahoo.co.jp","1","06/12/2025 11:05:40","06/12/2025 11:05:40","スパム","1","10"
"sns@de-create.com","1","06/12/2025 03:30:30","06/12/2025 03:30:30","スパム","1","10"
"speeda_marketing@uzabase.com","1","06/12/2025 06:03:08","06/12/2025 06:03:08","スパム","1","10"
"admin@ujmlges.com","1","06/12/2025 00:44:35","06/12/2025 00:44:35","スパム","1","10"
"suovk@mansuikaku.com","1","06/12/2025 09:36:49","06/12/2025 09:36:49","隔離","1","10"
"teamzoom@e.zoom.us","1","06/12/2025 08:07:37","06/12/2025 08:07:37","スパム","1","10"
"admin@dboumkd.com","1","06/12/2025 00:54:14","06/12/2025 00:54:14","スパム","1","10"
"2190vv3l@70gz.com","1","06/12/2025 01:47:12","06/12/2025 01:47:12","隔離","1","10"
"veqft3@xroco.com","1","06/12/2025 11:10:39","06/12/2025 11:10:39","隔離","1","10"
"xtech-e@nikkeibp.co.jp","1","06/12/2025 02:59:19","06/12/2025 02:59:19","スパム","1","10"
"noreply@miidas.jp","1","06/12/2025 07:07:33","06/12/2025 07:07:33","スパム","1","10"
"info@yaruki-switch-grp.jp","1","06/12/2025 03:44:01","06/12/2025 03:44:01","スパム","1","10"
"co_support@daiichihoki.com","1","06/12/2025 06:36:34","06/12/2025 06:36:34","スパム","1","10"
"no_reply@jaroc.co.jp","1","06/12/2025 07:53:22","06/12/2025 07:53:22","隔離","1","10"
"information@3n25g.com","1","06/12/2025 08:36:02","06/12/2025 08:36:02","隔離","1","10"
"information@3w4ru.com","1","06/12/2025 02:57:19","06/12/2025 02:57:19","隔離","1","10"
"information@bryp7.com","1","06/12/2025 06:06:55","06/12/2025 06:06:55","隔離","1","10"
"information@vrb98.com","1","06/12/2025 01:47:56","06/12/2025 01:47:56","隔離","1","10"
"information@vwr34.com","1","06/12/2025 10:01:48","06/12/2025 10:01:48","隔離","1","10"
