"Stage","Timestamp","TotalMemory","Gen0Collections","Gen1Collections","Gen2Collections","ProcessWorkingSet","ProcessPrivateMemory"
"Monitoring","2025/07/18 0:29:34","46711192","1198","134","32","128962560","109404160"
"Monitoring","2025/07/18 0:29:35","51101768","1198","134","32","131612672","112410624"
"Monitoring","2025/07/18 0:29:35","51806280","1198","134","32","132317184","113131520"
"Monitoring","2025/07/18 0:29:35","52510792","1198","134","32","133021696","113852416"
"Monitoring","2025/07/18 0:29:35","53207112","1198","134","32","133718016","114511872"
"Monitoring","2025/07/18 0:29:35","53911624","1198","134","32","134422528","115232768"
"Monitoring","2025/07/18 0:29:35","54616136","1198","134","32","135127040","115953664"
"Monitoring","2025/07/18 0:29:35","55320648","1198","134","32","135831552","116613120"
"Monitoring","2025/07/18 0:29:35","56016968","1198","134","32","136527872","117334016"
"Monitoring","2025/07/18 0:29:35","46779800","1199","135","32","137371648","118009856"
"Monitoring","2025/07/18 0:29:35","47500696","1199","135","32","137371648","118009856"
"Monitoring","2025/07/18 0:29:35","48205208","1199","135","32","137371648","118009856"
"Monitoring","2025/07/18 0:29:35","48909720","1199","135","32","137371648","118009856"
"Monitoring","2025/07/18 0:29:35","49614232","1199","135","32","137371648","118009856"
"Monitoring","2025/07/18 0:29:35","50310552","1199","135","32","137371648","118009856"
"Monitoring","2025/07/18 0:29:35","51015064","1199","135","32","137371648","118009856"
"Monitoring","2025/07/18 0:29:35","51800536","1199","135","32","138416128","120217600"
"Monitoring","2025/07/18 0:29:36","56726392","1199","135","32","141254656","118513664"
"Monitoring","2025/07/18 0:29:36","58007840","1199","135","32","139096064","119238656"
"Monitoring","2025/07/18 0:29:36","58704160","1199","135","32","139792384","119959552"
"Monitoring","2025/07/18 0:29:36","59392288","1199","135","32","140480512","120614912"
"Monitoring","2025/07/18 0:29:36","60080416","1199","135","32","141168640","121339904"
"Monitoring","2025/07/18 0:29:36","60776736","1199","135","32","141864960","121995264"
"Monitoring","2025/07/18 0:29:36","46268136","1200","135","32","142012416","122060800"
"Monitoring","2025/07/18 0:29:36","46956264","1200","135","32","142012416","122060800"
"Monitoring","2025/07/18 0:29:36","47644392","1200","135","32","142012416","122060800"
"Monitoring","2025/07/18 0:29:36","48340712","1200","135","32","142012416","122060800"
"Monitoring","2025/07/18 0:29:36","49028840","1200","135","32","142012416","122060800"
"Monitoring","2025/07/18 0:29:36","49716968","1200","135","32","142012416","122060800"
"Monitoring","2025/07/18 0:29:36","46264440","1201","136","32","130555904","110538752"
"Monitoring","2025/07/18 0:29:36","46960760","1201","136","32","130555904","110538752"
"Monitoring","2025/07/18 0:29:36","47648888","1201","136","32","130555904","110538752"
"Monitoring","2025/07/18 0:29:36","48337016","1201","136","32","130555904","110538752"
"Monitoring","2025/07/18 0:29:36","50335552","1202","136","32","132214784","114315264"
"Monitoring","2025/07/18 0:29:36","49809640","1204","136","32","135790592","117948416"
"Monitoring","2025/07/18 0:29:37","46387624","1205","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","47092136","1205","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","47780264","1205","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","48468392","1205","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","49156520","1205","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","49844648","1205","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","46397344","1206","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","47093664","1206","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","47781792","1206","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","48469920","1206","136","32","130617344","111181824"
"Monitoring","2025/07/18 0:29:37","49158048","1206","136","32","130600960","111153152"
"Monitoring","2025/07/18 0:29:37","49846176","1206","136","32","130600960","111153152"
"Monitoring","2025/07/18 0:29:37","46418736","1207","136","32","130605056","111153152"
"Monitoring","2025/07/18 0:29:37","47123248","1207","136","32","130605056","111153152"
"Monitoring","2025/07/18 0:29:37","47811376","1207","136","32","130605056","111153152"
"Monitoring","2025/07/18 0:29:37","48499504","1207","136","32","130605056","111153152"
"Monitoring","2025/07/18 0:29:37","49187632","1207","136","32","130605056","111153152"
"Monitoring","2025/07/18 0:29:37","49867568","1207","136","32","130605056","111153152"
"Monitoring","2025/07/18 0:29:37","50559568","1207","136","32","130723840","111415296"
"Monitoring","2025/07/18 0:29:38","46542072","1208","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","47246584","1208","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","47934712","1208","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","48622840","1208","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","49310968","1208","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","49990904","1208","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","46539504","1209","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","47244016","1209","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","47932144","1209","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","48620272","1209","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","49308400","1209","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","49988336","1209","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","50676464","1209","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","47272320","1210","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","47960448","1210","136","32","131317760","111874048"
